,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,ENSG00000284931,ENSG00000284931,ENSG00000244734,ENSG00000196565,ENSG00000197061,ENSG00000244734,ENSG00000105374,ENSG00000167815,ENSG00000164104,ENSG00000167815,ENSG00000152492,ENSG00000161016,ENSG00000164104,ENSG00000112306,ENSG00000019582,ENSG00000122862,ENSG00000026025,ENSG00000184009,ENSG00000004939,ENSG00000147454,ENSG00000101439,ENSG00000198804,ENSG00000167244
1,ENSG00000213934,ENSG00000188536,ENSG00000104765,ENSG00000284931,ENSG00000123416,ENSG00000213934,ENSG00000185885,ENSG00000137210,ENSG00000123416,ENSG00000143198,ENSG00000145287,ENSG00000089157,ENSG00000198804,ENSG00000143947,ENSG00000007312,ENSG00000135390,ENSG00000113140,ENSG00000111640,ENSG00000196565,ENSG00000004939,ENSG00000235588,ENSG00000198938,ENSG00000113140
